Name,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,'EndWithManager, Controller','HasType, Annotation, List','EndWithFactory, Impl, Implementation',IsEntity,'Confidence level','Role Stereotypes'
Data.org.mars_sim.msp.config.model.settlement.Equipment,3,12,12,2,4,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,1,8,5,No,No,No,Yes,five,one
Data.org.mars_sim.msp.config.model.settlement.Settlement,3,12,12,3,4,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,2,8,9,No,No,No,No,five,one
Data.org.mars_sim.msp.config.model.settlement.Vehicle,3,12,12,2,4,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,1,8,5,No,No,No,Yes,five,one
Data.org.mars_sim.msp.core.equipment.Bag,3,2,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,1,1,2,No,No,No,Yes,five,one
Data.org.mars_sim.msp.core.equipment.Barrel,3,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,No,No,No,Yes,five,one
Data.org.mars_sim.msp.core.equipment.Equipment,2,5,4,0,3,0,0,0,0,0,0,0,0,0,6,4,0,0,0,4,1,5,6,No,No,No,Yes,five,one
Data.org.mars_sim.msp.core.equipment.EVASuit,11,11,11,0,6,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,3,3,No,No,No,Yes,five,one
Data.org.mars_sim.msp.core.equipment.GasCanister,3,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,No,No,No,Yes,five,one
Data.org.mars_sim.msp.core.equipment.LargeBag,3,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,No,No,No,Yes,five,one
Data.org.mars_sim.msp.core.equipment.SpecimenContainer,3,2,2,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,2,No,No,No,No,five,one
Data.org.mars_sim.msp.core.person.ai.job.Job,7,8,8,0,7,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,2,11,8,No,No,No,No,five,one
